Name,Usage2024,Usage2016,Trend,Category,Scope
npm,49.6,7.9,Highly Trending,Tool,FS
Pip,32.4,8,Trending,Tool,BE
Homebrew,22.3,5,Trending,Tool,BE
Make,20.8,15,Steady,Tool,BE
Vite,19.9,0,Highly Trending,Tool,FE
Kubernetes,19.4,0.7,Highly Trending,Tool,BE
Yarn,18.8,0,Highly Trending,Tool,FS
Webpack,18.4,0.5,Highly Trending,Tool,FS
NuGet,16.1,6,Trending,Tool,BE
Maven,15.6,8,Steady,Tool,BE
Gradle,15.3,4,Trending,Tool,BE
MSBuild,11,7,Steady,Tool,BE
Terraform,10.6,0.1,Highly Trending,Tool,BE
APT,10.5,5,Steady,Tool,BE
pnpm,8.9,0,Highly Trending,Tool,FS
Composer,8.8,3,Steady,Tool,BE
Chocolatey,8.8,2,Trending,Tool,BE
Ansible,7.9,1.5,Highly Trending,Tool,BE
Helm,7.5,0,Highly Trending,Tool,BE
Gradle Wrapper,7.3,0,Trending,Tool,BE
Poetry,6.9,0,Highly Trending,Tool,BE
Bundler,6.8,4,Steady,Tool,BE
CMake,6.7,5,Steady,Tool,BE
Ant,6.5,7,Declining,Tool,BE
Bazel,5.9,0,Trending,Tool,BE
SBT,5.7,1,Trending,Tool,BE
Conan,5.5,0,Trending,Tool,BE
Meson,5.3,0,Trending,Tool,BE
Nix,5.1,0,Trending,Tool,BE
Bower,4.9,6,Declining,Tool,FE
Pipenv,4.7,0,Trending,Tool,BE
Cargo,4.5,0.5,Highly Trending,Tool,BE
Dub,4.3,0,Trending,Tool,BE
Leiningen,4.1,1,Steady,Tool,BE
Rebar,3.9,0,Declining,Tool,BE
Stack,3.7,0,Trending,Tool,BE
Mix,3.5,0,Trending,Tool,BE
Cocoapods,3.3,2,Trending,Tool,CPM
Swift Package Manager,3.1,0,Highly Trending,Tool,IOS
Carthage,2.9,0,Declining,Tool,BE
Spack,2.7,0,Trending,Tool,BE
Buck,2.5,0,Declining,Tool,BE
Glide,2.3,0,Declining,Tool,BE
Gulp,2.1,5,Declining,Tool,FE
Broccoli,1.9,0,Declining,Tool,FE
Grunt,1.7,7,Declining,Tool,FE
SCons,1.5,0,Declining,Tool,BE
Waf,1.3,0,Declining,Tool,BE
Tup,1.1,0,Declining,Tool,BE
Shake,0.9,0,Declining,Tool,BE
Ninja,0.7,0,Trending,Tool,BE
Rake,0.5,3,Declining,Tool,BE
Fabric,0.3,0.5,Declining,Tool,BE
Chef,0,2,Declining,Tool,BE
Linux,,,Steady,Tool,BE
Apache,,,Declining,Tool,BE
Nginx,,,Steady,Tool,BE
IIS,,,Strong Declining,Tool,BE
.NET,25.2,,Steady,Other-FW,BE
NumPy,21.2,,Highly Trending,Other-FW,BE
Pandas,20.7,,Highly Trending,Other-FW,BE
.NET Framework,16.4,,Declining,Other-FW,BE
Spring Framework,11.1,,Steady,Other-FW,BE
RabbitMQ,10.9,,Trending,Other-FW,BE
Scikit-Learn,10.6,,Highly Trending,Other-FW,ML
Torch,10.6,,Highly Trending,Other-FW,ML
PyTorch,10.6,,Highly Trending,Other-FW,ML
TensorFlow,10.1,,Highly Trending,Other-FW,ML
Apache Kafka,9.4,,Trending,Other-FW,BE
Flutter,9.4,,Highly Trending,Other-FW,CPM
OpenCV,8.6,,Steady,Other-FW,CV
React Native,8.4,,Trending,Other-FW,CPM
Qt,7.3,,Steady,Other-FW,DA
OpenGL,6.8,,Declining,Other-FW,FE
Electron,6.5,,Trending,Other-FW,DA
CUDA,5.8,,Trending,Other-FW,AI
Hugging Face Transformers,4.5,,Highly Trending,Other-FW,AI
Apache Spark,4.4,,Steady,Other-FW,BE
SwiftUI,4.3,,Trending,Other-FW,IOS
Keras,4.3,,Steady,Other-FW,AI
.NET MAUI,3.1,,Trending,Other-FW,CPM
Ruff,3,,Highly Trending,Other-FW,BE
Xamarin,2.9,,Highly Trending,Other-FW,CPM
GTK,2.6,,Steady,Other-FW,DA
Ionic,2.5,,Declining,Other-FW,CPM
Tauri,2.4,,Highly Trending,Other-FW,DA
Cordova,2.2,,Declining,Other-FW,CPM
Capacitor,1.8,,Trending,Other-FW,CPM
OpenCL,1.7,,Declining,Other-FW,AI
Quarkus,1.3,,Trending,Other-FW,BE
Ktor,1.2,,Trending,Other-FW,BE
mlflow,1.2,,Trending,Other-FW,ML
JAX,1,,Trending,Other-FW,ML
MFC,1,,Declining,Other-FW,DA
AWS,48,31,Highly Trending,Cloud,DO
Microsoft Azure,27.8,9,Highly Trending,Cloud,DO
GCP,25.1,4,Highly Trending,Cloud,DO
Cloudflare,15.1,,Trending,Cloud,DO
Firebase,13.9,,Trending,Cloud,DO
Vercel,11.9,0,Highly Trending,Cloud,DO
DigitalOcean,11.7,,Steady,Cloud,DO
Heroku,8.2,,Declining,Cloud,DO
Netlify,7,0,Highly Trending,Cloud,DO
VMware,6.6,,Steady,Cloud,DO
Hetzner,5,,Steady,Cloud,DO
Supabase Cloud,3.8,0,Highly Trending,Cloud,DO
Linode (now Akamai),3.1,,Steady,Cloud,DO
OVH,3,,Steady,Cloud,DO
Managed Hosting,3,,Steady,Cloud,DO
Oracle Cloud Infrastructure,2.9,,Trending,Cloud,DO
Render,2.8,0,Highly Trending,Cloud,DO
Fly.io,2.6,0,Highly Trending,Cloud,DO
OpenShift,2.4,,Steady,Cloud,DO
Databricks,2,0,Highly Trending,Cloud,DO
PythonAnywhere,1.9,,Steady,Cloud,DO
Vultr,1.7,,Steady,Cloud,DO
OpenStack,1.6,,Declining,Cloud,DO
Alibaba Cloud,1.2,,Trending,Cloud,DO
IBM Cloud or Watson,1.1,,Declining,Cloud,DO
Scaleway,0.9,,Steady,Cloud,DO
Colocation,0.7,,Declining,Cloud,DO
IBM Cloud,,7,Declining,Cloud,DO
Salesforce,,4,Steady,Cloud,DO
Linux,,,Steady,Tool,DO
Apache,,,Declining,Tool,DO
Nginx,,,Steady,Tool,DO
IIS,,,Strong Declining,Tool,DO
